,m2_construit,nb_pieces,nb_sdb,nb_etages,prix_achat_m2,travaux_necessaire,annee_construction,ascenseur,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse
217,115,3,1,0,1347,False,1975.0,False,False,False,True,False,True,False,False,21,False,True,False,False
219,72,3,1,0,1936,False,1961.0,True,False,False,True,False,False,False,False,21,True,False,False,False
221,90,3,2,0,1722,False,1998.0,True,False,False,True,False,True,True,True,21,True,False,False,False
224,105,2,1,0,1800,False,1995.0,True,False,False,True,False,False,False,True,21,True,False,False,False
226,120,3,1,0,1625,False,1962.0,True,False,False,False,False,False,False,False,21,True,False,False,False
227,90,3,2,0,2467,False,2001.0,True,False,True,False,False,True,False,True,21,True,False,False,False
229,80,3,1,0,2275,False,1974.0,True,False,False,True,False,False,False,False,21,True,False,False,False
230,120,3,2,0,2458,False,2003.0,True,False,False,True,True,True,False,True,21,True,False,False,False
236,60,3,1,0,1242,True,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
237,45,2,1,0,2333,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
238,95,3,1,0,1368,False,1985.0,True,False,False,True,True,False,False,False,21,True,False,False,False
240,71,3,1,0,2099,False,1970.0,True,False,False,False,False,False,False,False,21,True,False,False,False
241,70,3,1,0,1929,True,1969.0,True,False,False,False,False,False,False,False,21,True,False,False,False
242,98,4,2,0,2347,False,1977.0,True,False,False,True,False,False,False,False,21,True,False,False,False
252,70,2,1,0,1829,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
253,93,3,1,0,1787,False,1972.0,True,False,False,True,False,False,False,False,21,True,False,False,False
255,86,3,1,0,1500,False,1984.0,True,False,False,True,False,False,False,False,21,True,False,False,False
256,75,3,2,0,1760,False,1961.0,True,False,False,False,False,True,False,False,21,True,False,False,False
257,85,3,1,0,1588,False,1969.0,True,False,False,False,False,False,False,False,21,True,False,False,False
262,83,2,1,0,1759,False,2003.0,True,False,False,True,True,True,False,False,21,True,False,False,False
264,30,1,1,0,1967,False,1960.0,True,False,False,False,False,False,True,False,21,True,False,False,False
266,125,3,3,0,2200,False,2004.0,True,False,True,True,False,True,True,False,21,False,False,False,True
267,153,4,2,0,1163,False,1999.0,True,False,False,False,False,True,True,True,21,True,False,False,False
268,86,3,1,0,1500,False,1984.0,True,False,False,True,False,False,False,False,21,True,False,False,False
270,63,3,1,0,1302,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
272,95,3,1,0,2095,False,1966.0,True,False,True,False,False,True,True,True,21,True,False,False,False
276,60,3,1,0,2000,False,1960.0,False,False,False,False,False,False,False,False,21,True,False,False,False
283,80,2,2,0,2250,False,2003.0,True,False,True,False,False,True,True,True,21,True,False,False,False
286,61,3,1,0,1459,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
287,67,3,1,0,1776,False,1960.0,False,False,False,False,False,False,False,False,21,True,False,False,False
289,92,3,2,0,1902,False,1962.0,True,False,False,True,False,False,False,False,21,True,False,False,False
291,63,3,1,0,2651,False,1966.0,True,False,False,False,False,False,False,False,21,True,False,False,False
292,57,3,1,0,1684,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
293,63,3,1,0,1333,False,1968.0,True,False,False,False,False,False,False,False,21,True,False,False,False
294,52,2,1,0,1942,True,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
296,125,3,3,0,2200,False,2004.0,True,False,True,True,False,True,False,False,21,False,True,False,False
300,66,3,1,0,1409,False,1969.0,False,False,False,True,True,False,False,False,21,True,False,False,False
301,95,2,2,0,1626,False,2007.0,True,False,False,True,False,False,False,False,21,True,False,False,False
304,85,3,1,0,1822,False,1980.0,True,False,False,True,False,False,False,True,21,True,False,False,False
306,55,2,1,0,1745,False,1962.0,True,False,False,True,False,False,False,False,21,True,False,False,False
316,70,2,1,0,2886,False,2009.0,True,False,False,True,False,True,False,False,21,True,False,False,False
317,47,1,1,0,3064,False,2009.0,True,False,False,True,False,True,False,False,21,True,False,False,False
323,70,2,1,0,1071,False,1973.0,True,False,False,False,True,False,False,False,21,True,False,False,False
327,55,2,1,0,1756,True,1959.0,True,False,False,False,False,False,False,False,21,True,False,False,False
328,77,3,1,0,1545,False,1960.0,True,False,False,True,False,False,False,False,21,True,False,False,False
329,56,3,1,0,1786,False,1967.0,True,False,False,True,False,False,False,False,21,True,False,False,False
331,72,3,1,0,1319,True,1965.0,True,False,False,True,False,False,False,False,21,True,False,False,False
334,120,3,1,0,1625,False,1970.0,True,False,False,True,False,False,False,False,21,True,False,False,False
336,95,2,1,0,1284,False,1967.0,True,False,False,True,False,False,False,False,21,True,False,False,False
341,70,3,1,0,1498,False,1968.0,True,False,False,True,False,False,False,False,21,True,False,False,False
344,56,3,1,0,1875,False,1967.0,True,False,False,True,False,False,False,False,21,True,False,False,False
347,54,3,1,0,1315,True,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
350,85,3,1,0,1506,True,1975.0,True,False,False,True,False,False,False,False,21,True,False,False,False
351,75,3,1,0,1600,False,1974.0,True,False,False,True,False,False,False,False,21,True,False,False,False
357,56,2,1,0,1946,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
374,140,3,3,0,2429,True,2003.0,True,False,True,True,False,True,True,True,21,False,True,False,False
375,112,3,2,0,2054,False,1965.0,True,False,False,True,False,False,False,False,21,True,False,False,False
388,52,2,1,0,1438,True,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
394,116,4,2,0,1466,True,1978.0,True,False,False,True,True,False,True,False,21,True,False,False,False
395,48,2,1,0,2500,False,2009.0,True,False,False,False,False,True,False,False,21,True,False,False,False
399,60,4,1,0,1250,True,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
410,64,3,1,0,1484,False,1969.0,True,False,False,True,False,False,False,False,21,True,False,False,False
428,147,4,2,0,2313,False,2003.0,True,False,True,True,False,True,True,True,21,False,True,False,False
432,90,3,2,0,1544,False,2008.0,True,False,False,False,False,True,False,False,21,True,False,False,False
433,63,2,1,0,1619,True,1962.0,True,False,False,False,False,False,False,False,21,True,False,False,False
449,75,3,1,0,1600,False,1979.0,True,False,False,True,False,True,False,False,21,True,False,False,False
451,62,2,2,0,2387,False,1969.0,True,False,False,False,False,False,False,False,21,True,False,False,False
452,78,3,1,0,1628,False,1984.0,True,False,False,True,False,True,False,False,21,True,False,False,False
453,83,3,1,0,1867,False,1964.0,True,False,False,True,False,False,False,False,21,True,False,False,False
458,65,2,1,0,1923,False,1972.0,True,False,False,True,False,False,False,False,21,True,False,False,False
463,65,3,1,0,1655,False,1980.0,True,False,False,True,False,False,False,False,21,True,False,False,False
468,123,4,2,0,1789,False,1981.0,True,False,False,True,False,False,False,True,21,True,False,False,False
471,80,3,2,0,2000,False,2000.0,True,False,False,False,False,False,True,True,21,False,True,False,False
472,113,3,2,0,3185,False,2010.0,True,False,True,False,False,True,True,True,21,True,False,False,False
473,89,3,2,0,1955,False,2000.0,True,False,False,True,False,True,True,True,21,True,False,False,False
475,120,3,1,0,1500,True,1974.0,True,False,False,True,False,False,False,False,21,True,False,False,False
476,101,2,2,0,2426,False,2007.0,True,False,True,True,False,True,True,True,21,True,False,False,False
477,75,2,1,0,1947,False,1970.0,True,False,False,True,False,False,False,False,21,True,False,False,False
480,75,3,1,0,1507,False,1971.0,True,False,False,True,False,False,True,False,21,True,False,False,False
481,30,1,1,0,2400,False,1981.0,True,False,False,False,False,False,False,False,21,True,False,False,False
482,54,3,1,0,1703,False,1964.0,True,False,False,False,False,False,False,False,21,True,False,False,False
486,69,2,1,0,1913,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
495,83,3,1,0,1406,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
496,76,2,1,0,1441,False,1968.0,True,False,False,False,False,False,False,False,21,True,False,False,False
498,80,2,2,0,3125,False,2005.0,True,False,False,True,True,True,True,True,21,True,False,False,False
502,75,3,1,0,1532,False,1984.0,True,False,False,True,False,False,False,False,21,True,False,False,False
504,66,2,1,0,1767,False,1972.0,True,False,False,True,False,False,False,False,21,True,False,False,False
508,105,3,2,0,1736,False,1983.0,True,False,False,True,True,True,True,True,21,True,False,False,False
510,88,3,1,0,1318,False,1964.0,True,False,False,True,False,False,False,False,21,True,False,False,False
511,160,2,1,0,1625,False,1992.0,True,False,True,True,False,False,True,True,21,False,False,False,True
512,60,2,1,0,1650,False,1953.0,False,False,False,False,False,False,False,False,21,True,False,False,False
514,88,3,1,0,1503,False,1962.0,False,False,False,False,False,False,False,False,21,True,False,False,False
515,53,1,1,0,2717,False,2007.0,True,False,False,True,False,True,False,False,21,False,False,False,True
516,89,3,2,0,2640,False,2003.0,True,False,True,False,False,True,False,True,21,True,False,False,False
518,65,3,1,0,1492,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
520,85,3,1,0,1649,False,1997.0,True,False,False,True,False,False,False,False,21,True,False,False,False
522,116,3,2,0,2543,False,2002.0,True,False,True,True,True,True,True,True,21,True,False,False,False
523,80,3,1,0,1688,False,1979.0,True,False,False,True,False,False,False,True,21,True,False,False,False
526,95,4,1,0,1842,False,1970.0,True,False,False,True,False,False,False,True,21,True,False,False,False
530,100,3,2,0,2850,False,2002.0,True,False,True,False,False,True,False,True,21,True,False,False,False
533,60,3,1,0,1415,True,1963.0,True,False,False,True,False,False,False,False,21,True,False,False,False
534,62,3,1,0,1742,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
537,78,3,1,0,1488,False,1976.0,True,False,False,True,True,False,False,False,21,True,False,False,False
538,70,3,1,0,1857,False,1968.0,True,False,False,True,False,False,False,False,21,True,False,False,False
540,89,2,2,0,1627,False,1994.0,True,False,False,True,False,False,False,True,21,True,False,False,False
545,98,3,2,0,2235,False,2003.0,True,False,False,True,False,True,False,True,21,True,False,False,False
546,64,2,1,0,2344,False,2000.0,True,False,False,False,False,True,False,True,21,True,False,False,False
547,98,3,2,0,2235,False,2003.0,True,False,False,True,False,True,False,True,21,True,False,False,False
551,95,2,2,0,1626,False,2007.0,True,False,False,False,False,False,False,False,21,True,False,False,False
552,78,2,1,0,1882,False,1972.0,True,False,False,True,False,False,False,False,21,True,False,False,False
555,60,2,1,0,1167,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
558,61,2,1,0,1525,False,1965.0,True,False,False,True,False,False,False,False,21,True,False,False,False
560,97,4,1,0,1536,False,1963.0,False,False,False,False,False,False,False,False,21,True,False,False,False
561,76,3,1,0,1842,False,1971.0,False,False,False,False,False,False,False,False,21,True,False,False,False
563,187,3,2,0,1578,False,2003.0,True,False,True,True,True,True,True,True,21,True,False,False,False
564,62,2,1,0,1726,False,1965.0,True,False,False,True,True,False,False,False,21,True,False,False,False
566,89,2,2,0,2809,False,2004.0,True,False,True,True,False,True,True,True,21,True,False,False,False
567,68,2,1,0,2412,False,1966.0,True,False,False,False,False,False,False,False,21,True,False,False,False
569,114,4,2,0,2254,False,1987.0,True,False,False,True,False,False,False,False,21,True,False,False,False
570,70,3,1,0,1700,False,1961.0,True,False,False,False,False,True,False,False,21,True,False,False,False
571,55,2,1,0,1816,False,1966.0,True,False,False,True,False,False,False,False,21,True,False,False,False
572,90,2,1,0,2389,False,2009.0,True,False,True,True,False,True,True,False,21,True,False,False,False
573,67,3,1,0,1478,True,1960.0,True,False,False,True,False,False,False,False,21,True,False,False,False
574,110,2,2,0,2045,False,2004.0,True,False,True,False,False,True,True,True,21,True,False,False,False
576,65,3,1,0,1308,True,1965.0,True,False,False,True,False,False,False,False,21,True,False,False,False
579,80,3,2,0,1625,False,2011.0,True,False,False,True,True,True,False,False,21,True,False,False,False
581,125,3,3,0,2200,False,2004.0,True,False,True,True,False,True,True,False,21,True,False,False,False
582,93,3,1,0,1344,False,1961.0,True,False,False,True,True,False,False,False,21,True,False,False,False
583,120,3,2,0,2083,False,2003.0,True,False,True,True,False,True,True,True,21,False,True,False,False
584,78,2,1,0,2545,False,2003.0,True,False,True,False,True,True,True,True,21,True,False,False,False
585,147,4,2,0,2381,False,2002.0,True,False,True,True,False,True,True,True,21,False,False,False,True
586,52,2,1,0,1921,False,1968.0,True,False,False,False,False,False,False,False,21,True,False,False,False
587,100,3,2,0,1373,False,1969.0,False,False,False,False,False,False,False,False,21,True,False,False,False
589,200,5,3,0,1650,False,2002.0,True,False,True,True,False,True,True,True,21,False,True,False,False
590,69,2,1,0,1725,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
591,104,3,2,0,2933,False,2015.0,True,False,True,True,False,True,True,True,21,True,False,False,False
592,80,3,1,0,1341,False,1975.0,True,False,False,True,False,False,False,False,21,True,False,False,False
593,65,3,1,0,1523,False,1961.0,True,False,False,True,True,False,False,False,21,True,False,False,False
594,62,2,1,0,1500,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
595,69,3,1,0,1406,False,1985.0,True,False,False,True,False,False,False,False,21,True,False,False,False
596,65,3,1,0,1462,False,1960.0,True,False,False,True,False,False,False,False,21,True,False,False,False
597,80,3,1,0,1600,True,1967.0,True,False,False,True,False,False,False,False,21,True,False,False,False
599,160,4,2,0,2812,False,2005.0,True,False,False,True,False,True,False,False,21,True,False,False,False
601,75,2,1,0,1707,False,1969.0,False,False,False,True,False,False,False,False,21,True,False,False,False
603,75,3,1,0,1667,False,1969.0,True,False,False,False,False,False,False,False,21,True,False,False,False
604,60,3,1,0,1833,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
607,106,3,2,0,2354,False,2019.0,True,False,True,True,False,True,True,True,21,True,False,False,False
608,65,3,1,0,1908,True,1970.0,True,False,False,True,False,True,False,False,21,True,False,False,False
609,70,2,1,0,2886,False,2009.0,True,False,False,True,False,True,False,False,21,True,False,False,False
610,95,3,2,0,1726,False,2011.0,True,False,False,False,False,True,False,False,21,True,False,False,False
611,90,3,2,0,1989,False,2000.0,True,False,False,False,True,True,False,True,21,True,False,False,False
612,79,3,1,0,1709,False,1959.0,True,False,False,False,False,False,False,False,21,True,False,False,False
613,54,1,1,0,2204,False,1994.0,True,False,False,False,False,False,False,False,21,True,False,False,False
620,56,3,1,0,1393,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
621,60,2,1,0,1138,False,1966.0,True,False,False,False,False,False,False,False,21,True,False,False,False
622,98,2,2,0,2622,False,2003.0,True,False,True,True,True,True,True,True,21,True,False,False,False
624,125,3,2,0,1680,False,1996.0,True,False,False,False,False,True,False,True,21,True,False,False,False
625,133,3,3,0,1797,False,2002.0,True,False,True,False,False,True,True,True,21,False,True,False,False
626,114,3,2,0,1535,False,1994.0,True,False,False,False,False,False,False,True,21,True,False,False,False
627,90,4,1,0,1833,False,1972.0,True,False,False,False,False,False,False,False,21,True,False,False,False
630,70,3,1,0,1557,False,1969.0,True,False,False,True,False,False,False,False,21,True,False,False,False
631,162,4,2,0,2130,False,2001.0,True,False,True,True,True,True,False,True,21,True,False,False,False
633,78,3,1,0,1676,False,1960.0,True,False,False,False,False,False,False,False,21,True,False,False,False
634,60,1,1,0,2050,False,1971.0,True,False,False,False,False,False,False,False,21,True,False,False,False
636,75,3,1,0,1867,False,1970.0,True,False,False,False,False,True,False,False,21,True,False,False,False
637,47,1,1,0,2957,False,2007.0,True,False,True,False,False,True,True,True,21,True,False,False,False
638,67,1,1,0,1552,True,1965.0,False,False,False,False,False,False,False,False,21,True,False,False,False
641,49,2,1,0,2959,False,1966.0,True,False,False,False,False,True,False,False,21,True,False,False,False
652,99,3,2,0,2313,False,2002.0,True,False,True,False,False,True,True,False,21,True,False,False,False
654,144,4,2,0,1861,False,2003.0,True,False,True,False,False,True,False,True,21,True,False,False,False
690,51,3,1,0,2255,False,1965.0,True,False,False,True,False,False,False,False,21,True,False,False,False
695,82,3,1,0,1988,False,1972.0,True,False,False,True,False,False,False,False,21,True,False,False,False
696,95,3,1,0,1863,False,1968.0,True,False,False,True,False,False,False,False,21,True,False,False,False
697,97,4,1,0,1649,False,1970.0,True,False,False,True,False,False,False,False,21,True,False,False,False
698,65,2,1,0,1938,False,1962.0,True,False,False,False,True,False,False,False,21,True,False,False,False
699,56,3,1,0,1696,False,1966.0,True,False,False,False,False,False,False,False,21,True,False,False,False
704,122,3,2,0,2295,False,2004.0,True,False,True,True,False,True,True,True,21,True,False,False,False
706,56,2,1,0,2248,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
707,56,2,1,0,1411,True,1966.0,True,False,False,True,False,False,False,False,21,True,False,False,False
708,110,3,2,0,2182,False,2003.0,True,False,True,False,False,True,False,True,21,True,False,False,False
713,60,2,1,0,2250,False,1976.0,True,False,False,True,False,False,False,True,21,True,False,False,False
714,64,2,1,0,1750,False,1967.0,True,False,False,True,False,False,False,False,21,True,False,False,False
718,90,3,2,0,2611,False,2020.0,True,False,True,True,False,True,True,True,21,True,False,False,False
720,79,4,1,0,1644,True,1972.0,True,False,False,True,False,False,False,False,21,True,False,False,False
721,89,3,1,0,1854,False,1977.0,True,False,False,True,False,False,False,False,21,True,False,False,False
724,75,3,1,0,1733,False,1968.0,True,False,False,False,False,False,True,True,21,True,False,False,False
731,152,3,2,0,2237,False,2001.0,True,False,True,True,False,True,True,True,21,False,True,False,False
732,100,3,2,0,1850,False,1965.0,True,False,False,True,False,False,False,False,21,True,False,False,False
733,124,3,2,0,2976,False,1995.0,True,False,True,True,False,False,False,True,21,False,False,False,True
735,122,4,2,0,1303,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
736,102,3,2,0,2059,False,1981.0,True,False,False,False,False,False,False,False,21,True,False,False,False
740,105,4,2,0,2397,False,2002.0,True,False,True,True,False,True,False,True,21,True,False,False,False
741,76,3,1,0,1412,False,1963.0,True,False,False,True,False,False,False,False,21,True,False,False,False
742,61,3,1,0,2016,False,1965.0,True,False,False,False,False,False,False,False,21,True,False,False,False
