,m2_construit,nb_pieces,prix_achat,prix_achat_m2,travaux_necessaire,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse,nom_quartier
167,170,3,325000,1912,False,False,True,True,False,True,True,True,21,False,False,False,True,Barajas
168,48,2,89000,1854,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
169,98,3,284900,2907,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
170,50,1,135000,2700,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
171,136,3,230000,1691,False,False,False,True,False,False,False,True,21,False,False,False,True,Barajas
172,80,3,163000,2038,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
173,95,3,185000,1947,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
174,56,3,80000,1429,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
175,43,1,84000,1953,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
176,72,3,119900,1665,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
177,100,4,154900,1549,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
178,70,3,119900,1713,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
179,60,2,79900,1332,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
180,60,2,79900,1332,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
181,91,3,129900,1427,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
182,74,3,99900,1350,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
183,110,3,275000,2500,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
184,83,3,91500,1102,False,False,False,True,True,False,False,False,21,True,False,False,False,Barajas
186,65,2,86860,1336,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
187,58,3,105000,1810,False,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
188,115,3,216000,1878,False,False,True,False,False,False,False,True,21,True,False,False,False,Barajas
189,82,3,120000,1463,False,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
190,83,3,135000,1627,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
191,90,2,212000,2356,False,False,True,False,False,True,True,False,21,True,False,False,False,Barajas
192,95,2,184000,1937,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
193,89,3,160000,1798,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
194,178,4,299990,1685,False,False,True,False,True,True,True,True,21,True,False,False,False,Barajas
195,59,2,117000,1983,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
196,100,4,165000,1650,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
197,68,3,95000,1397,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
198,50,2,106000,2120,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
199,114,4,229000,2009,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
200,81,3,155000,1914,False,False,False,False,False,True,True,True,21,True,False,False,False,Barajas
201,91,2,228208,2508,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
202,95,3,100000,1053,True,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
203,80,3,140000,1750,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
204,60,2,105000,1750,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
205,80,3,165000,2062,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
206,60,2,73000,1217,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
